kappa_eff,entropy_eff,mass_eff,inertial_idx,risk_index,risk_class,loventre_global_decision,loventre_global_color,loventre_global_score,meta_label,source_file
2.1,,1.0,2.1,2.1,HIGH,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_4.json
-2.4,1.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_40.json
-2.7,1.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_41.json
-3.0,1.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_42.json
3.0,4.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_43.json
2.7,4.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_44.json
2.4,4.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_45.json
2.1,4.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_46.json
1.8,4.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_47.json
1.5,4.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_48.json
1.2,4.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_49.json
1.8,,1.0,1.8,1.8,HIGH,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_5.json
0.9,4.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_50.json
0.6,4.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_51.json
0.3,4.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_52.json
0.0,4.0,1.0,0.0,0.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_53.json
-0.3,4.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_54.json
-0.6,4.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_55.json
-0.9,4.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_56.json
-1.2,4.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_57.json
-1.5,4.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_58.json
-1.8,4.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_59.json
1.5,,1.0,1.5,1.5,HIGH,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_6.json
-2.1,4.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_60.json
-2.4,4.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_61.json
-2.7,4.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_62.json
-3.0,4.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_63.json
1.2,,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_7.json
0.9,,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_8.json
0.6,,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_9.json
