kappa_eff,entropy_eff,mass_eff,inertial_idx,risk_index,risk_class,loventre_global_decision,loventre_global_color,loventre_global_score,meta_label,source_file
-2.1,4.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_053.json
-2.1,1.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_054.json
-2.4,,1.0,2.4,2.4,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_055.json
-2.4,1.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_056.json
-2.4,4.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_057.json
-2.7,,1.0,2.7,2.7,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_058.json
-2.7,1.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_059.json
-2.7,4.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_060.json
-3.0,,1.0,3.0,3.0,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_061.json
-3.0,1.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_062.json
-3.0,4.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_063.json
